Yttrium from [doi:10.2320/matertrans.MRA2006193] for 350-1000nm
nm
nk	
257	0,4718113	0,6081397			
264	0,4944569	0,6986125			
271	0,5225013	0,7652252			
278	0,5451739	0,8322222			
285	0,5661042	0,8939426			
292	0,5842286	0,944898			
299	0,6033247	0,9946882			
306	0,6226553	1,040974			
313	0,6319331	1,086907			
320	0,6490176	1,128267			
327	0,6592345	1,169622			
334	0,6686249	1,205138			
341	0,6805719	1,252623			
348	0,6965567	1,293415			
355	0,7119833	1,334702			
362	0,7222178	1,376061			
369	0,733943	1,408003			
376	0,747847	1,449195			
383	0,760208	1,481957			
390	0,772419	1,522428			
397	0,788843	1,563464			
404	0,801566	1,595612			
411	0,817956	1,636924			
418	0,836785	1,669135			
425	0,854377	1,71016			
432	0,874828	1,751341			
439	0,894028	1,787825			
446	0,914458	1,828069			
453	0,931057	1,865946			
460	0,951132	1,898075			
467	0,968243	1,929739			
474	0,979742	1,971687			
481	1,004296	2,00399			
488	1,029115	2,034719			
495	1,060296	2,064906			
502	1,080069	2,094541			
509	1,099921	2,124071			
516	1,120640	2,155199			
523	1,146710	2,184504			
530	1,172154	2,214649			
537	1,191051	2,239827			
544	1,219995	2,264394			
551	1,247835	2,290732			
558	1,279784	2,316438			
565	1,299492	2,339238			
572	1,323529	2,361694			
579	1,346652	2,385292			
586	1,377528	2,407629			
593	1,405600	2,426434			
600	1,430417	2,444355			
607	1,46326	2,464851			
614	1,484931	2,483307			
621	1,505574	2,50152			
628	1,533437	2,519811			
635	1,560229	2,538085			
642	1,581508	2,54886			
649	1,608333	2,567335			
656	1,632113	2,58581			
663	1,657157	2,596724			
670,0007	1,685209	2,608926			
677	1,707819	2,623135			
684	1,73404	2,636417			
691	1,757137	2,646823			
698	1,777621	2,658497			
705	1,800056	2,665217			
712	1,821435	2,673072			
719	1,845973	2,683471			
726	1,866663	2,69377			
733	1,88781	2,697329			
740	1,911372	2,702757			
747	1,923882	2,712557			
754	1,940514	2,716681			
761	1,958431	2,72255			
768	1,981209	2,731081			
775	1,997215	2,735358			
782	2,019036	2,735303			
789	2,028996	2,740045			
796	2,045966	2,74419			
803,0014	2,062264	2,753177			
810	2,080744	2,758662			
817	2,092817	2,762794			
823,9993	2,106018	2,772822			
831	2,125434	2,772755			
838	2,136698	2,776912			
845	2,150276	2,782641			
852,0014	2,163318	2,786207			
859	2,174461	2,796365			
866	2,185623	2,801387			
873	2,202106	2,805287			
880	2,211997	2,815293			
887	2,22006	2,819859			
894	2,22661	2,824035			
901	2,239018	2,831697			
908	2,253773	2,838193			
915	2,267463	2,842507			
922	2,271482	2,85165			
929	2,277814	2,857434			
936	2,281166	2,861008			
943	2,295779	2,871163			
950,0007	2,302569	2,875019			
957,002	2,314753	2,880293			
964,0007	2,320053	2,880375			
971	2,32353	2,884432			
978	2,331809	2,890255			
985	2,335848	2,899001			
992	2,342546	2,903628			
999	2,353356	2,909732			
					
					
