n k for YH(3-delta) taken from lee1999 [http://dx.doi.org/10.1063/1.371754]
nm
nk

2.14E+02	1.18E+00	7.05E-02
2.18E+02	1.18E+00	7.21E-02
2.21E+02	1.19E+00	7.33E-02
2.25E+02	1.20E+00	7.46E-02
2.30E+02	1.20E+00	7.62E-02
2.34E+02	1.19E+00	7.81E-02
2.38E+02	1.19E+00	7.87E-02
2.43E+02	1.20E+00	7.86E-02
2.48E+02	1.19E+00	8.02E-02
2.53E+02	1.19E+00	8.33E-02
2.58E+02	1.18E+00	8.63E-02
2.64E+02	1.19E+00	8.85E-02
2.70E+02	1.20E+00	8.95E-02
2.76E+02	1.19E+00	8.98E-02
2.82E+02	1.18E+00	9.17E-02
2.88E+02	1.19E+00	9.69E-02
2.95E+02	1.20E+00	1.02E-01
3.02E+02	1.19E+00	1.05E-01
3.10E+02	1.20E+00	1.07E-01
3.18E+02	1.19E+00	1.10E-01
3.26E+02	1.19E+00	1.14E-01
3.35E+02	1.18E+00	1.19E-01
3.44E+02	1.17E+00	1.23E-01
3.54E+02	1.16E+00	1.28E-01
3.65E+02	1.17E+00	1.34E-01
3.76E+02	1.17E+00	1.48E-01
3.87E+02	1.18E+00	1.83E-01
4.00E+02	1.19E+00	3.19E-01
4.13E+02	1.22E+00	2.66E-01
4.28E+02	1.24E+00	2.51E-01
4.43E+02	1.25E+00	2.24E-01
4.59E+02	1.27E+00	2.03E-01
4.77E+02	1.29E+00	1.86E-01
4.96E+02	1.31E+00	1.79E-01
5.17E+02	1.31E+00	1.77E-01
5.39E+02	1.31E+00	1.80E-01
5.64E+02	1.31E+00	1.83E-01
5.90E+02	1.31E+00	1.87E-01
6.20E+02	1.29E+00	1.87E-01
6.36E+02	1.30E+00	1.90E-01
6.53E+02	1.31E+00	1.95E-01
6.70E+02	1.31E+00	1.99E-01
6.89E+02	1.31E+00	1.99E-01
7.08E+02	1.31E+00	2.00E-01
7.29E+02	1.30E+00	2.00E-01
7.51E+02	1.30E+00	2.03E-01
7.75E+02	1.31E+00	2.10E-01
8.00E+02	1.31E+00	2.09E-01
8.27E+02	1.31E+00	2.09E-01
8.55E+02	1.31E+00	2.13E-01
8.86E+02	1.32E+00	2.19E-01
9.18E+02	1.32E+00	2.26E-01
9.54E+02	1.31E+00	2.31E-01
9.92E+02	1.30E+00	2.42E-01
1.03E+03	1.29E+00	2.50E-01
1.08E+03	1.26E+00	2.54E-01
1.13E+03	1.25E+00	2.73E-01
1.18E+03	1.24E+00	2.76E-01
1.24E+03	1.24E+00	2.97E-01
1.25E+03	1.24E+00	3.00E-01
1.25E+03	1.23E+00	3.04E-01
1.26E+03	1.23E+00	3.06E-01
1.27E+03	1.22E+00	3.08E-01
1.27E+03	1.22E+00	3.10E-01
1.28E+03	1.21E+00	3.12E-01
1.28E+03	1.21E+00	3.13E-01
1.29E+03	1.21E+00	3.15E-01
1.30E+03	1.21E+00	3.17E-01
1.31E+03	1.21E+00	3.19E-01
1.31E+03	1.21E+00	3.21E-01
1.32E+03	1.22E+00	3.23E-01
1.33E+03	1.22E+00	3.26E-01
1.33E+03	1.22E+00	3.28E-01
1.34E+03	1.22E+00	3.31E-01
1.35E+03	1.23E+00	3.33E-01
1.36E+03	1.23E+00	3.36E-01
1.36E+03	1.23E+00	3.38E-01
1.37E+03	1.23E+00	3.40E-01
1.38E+03	1.23E+00	3.42E-01
1.39E+03	1.23E+00	3.44E-01
1.39E+03	1.23E+00	3.46E-01
1.40E+03	1.24E+00	3.49E-01
1.41E+03	1.24E+00	3.52E-01
1.42E+03	1.24E+00	3.55E-01
1.43E+03	1.24E+00	3.60E-01
1.43E+03	1.24E+00	3.65E-01
1.44E+03	1.24E+00	3.70E-01
1.45E+03	1.24E+00	3.75E-01
1.46E+03	1.24E+00	3.81E-01
1.47E+03	1.25E+00	3.86E-01
1.48E+03	1.25E+00	3.91E-01
1.48E+03	1.25E+00	3.95E-01
1.49E+03	1.26E+00	3.99E-01
1.50E+03	1.27E+00	4.03E-01
1.51E+03	1.27E+00	4.07E-01
1.52E+03	1.28E+00	4.10E-01
1.53E+03	1.28E+00	4.14E-01
1.54E+03	1.29E+00	4.17E-01
1.55E+03	1.29E+00	4.21E-01
1.56E+03	1.29E+00	4.25E-01
1.57E+03	1.29E+00	4.29E-01
1.58E+03	1.29E+00	4.33E-01
1.59E+03	1.29E+00	4.38E-01
1.60E+03	1.29E+00	4.43E-01
1.61E+03	1.29E+00	4.48E-01
1.62E+03	1.30E+00	4.53E-01
1.63E+03	1.30E+00	4.59E-01
1.64E+03	1.31E+00	4.65E-01
1.65E+03	1.31E+00	4.71E-01
1.66E+03	1.32E+00	4.77E-01
1.68E+03	1.32E+00	4.83E-01
1.69E+03	1.32E+00	4.89E-01
1.70E+03	1.32E+00	4.94E-01
1.71E+03	1.32E+00	4.99E-01
1.72E+03	1.31E+00	5.04E-01
1.73E+03	1.31E+00	5.08E-01
1.75E+03	1.31E+00	5.11E-01
1.76E+03	1.31E+00	5.15E-01
1.77E+03	1.31E+00	5.17E-01
1.78E+03	1.31E+00	5.20E-01
1.80E+03	1.32E+00	5.22E-01
1.81E+03	1.32E+00	5.24E-01
1.82E+03	1.33E+00	5.26E-01
1.84E+03	1.34E+00	5.28E-01
1.85E+03	1.34E+00	5.30E-01
1.86E+03	1.34E+00	5.33E-01
1.88E+03	1.34E+00	5.36E-01
1.89E+03	1.34E+00	5.40E-01
1.91E+03	1.34E+00	5.44E-01
1.92E+03	1.34E+00	5.49E-01
1.94E+03	1.34E+00	5.55E-01
1.95E+03	1.35E+00	5.61E-01
1.97E+03	1.35E+00	5.66E-01
1.98E+03	1.35E+00	5.70E-01
2.00E+03	1.35E+00	5.74E-01
2.02E+03	1.36E+00	5.78E-01
2.03E+03	1.36E+00	5.81E-01
2.05E+03	1.36E+00	5.85E-01
2.07E+03	1.36E+00	5.89E-01
2.08E+03	1.36E+00	5.92E-01
2.10E+03	1.36E+00	5.95E-01
2.12E+03	1.36E+00	5.98E-01
2.14E+03	1.36E+00	5.98E-01
2.16E+03	1.36E+00	5.97E-01
2.18E+03	1.36E+00	5.95E-01
2.19E+03	1.36E+00	5.92E-01
2.21E+03	1.37E+00	5.89E-01
2.23E+03	1.38E+00	5.89E-01
2.25E+03	1.39E+00	5.92E-01
2.27E+03	1.39E+00	5.98E-01
2.30E+03	1.39E+00	6.05E-01
2.32E+03	1.39E+00	6.11E-01
2.34E+03	1.39E+00	6.13E-01
2.36E+03	1.38E+00	6.12E-01
2.38E+03	1.37E+00	6.13E-01
2.41E+03	1.36E+00	6.19E-01
2.43E+03	1.35E+00	6.34E-01
2.46E+03	1.34E+00	6.47E-01
2.48E+03	1.34E+00	6.49E-01
2.50E+03	1.34E+00	6.46E-01
2.53E+03	1.34E+00	6.46E-01
2.56E+03	1.34E+00	6.52E-01
2.58E+03	1.34E+00	6.60E-01
2.61E+03	1.34E+00	6.69E-01
2.64E+03	1.34E+00	6.76E-01
2.67E+03	1.34E+00	6.81E-01
2.70E+03	1.34E+00	6.85E-01
2.72E+03	1.34E+00	6.89E-01
